id,name,artist,songwriters,duration,genres,album,created_at,updated_at
31126,positive,Charles Rose,Timothy Ponce,15:20,charge,risk,2023-05-06T07:58:15,2025-02-10T16:54:55
17877,indicate,Kimberly West,Lisa Bryan,57:46,discussion,condition,2023-12-15T15:55:47,2024-11-02T17:56:01
73831,chance,Mr. Kevin Martinez MD,Anthony Hobbs,13:32,reveal,investment,2023-04-18T20:58:32,2024-05-03T19:32:35
52258,prepare,Anthony Campbell,Jocelyn Smith,21:15,culture,hotel,2023-05-10T03:41:24,2025-01-22T17:43:48
17117,box,Amy Horn,Taylor Sharp,23:31,test,think,2023-06-25T21:44:51,2024-12-21T09:33:19
48288,first,Amanda Powers,John Landry,09:24,mouth,very,2023-07-08T03:34:29,2024-09-05T18:08:48
89302,article,Steve Webster,Olivia Young,35:58,old,exactly,2024-03-22T18:12:33,2024-09-21T13:10:42
41239,near,Chad Matthews,Laura Hayes,04:46,baby,herself,2024-06-26T10:56:13,2024-02-23T07:52:37
7972,same,Lisa Trujillo,Jacqueline West,01:31,benefit,draw,2024-01-02T18:41:57,2024-11-27T10:04:06
81490,arm,Rebecca Russell,Jeffrey Mann,49:49,approach,guess,2024-04-29T14:36:18,2024-04-12T15:28:22
71471,avoid,Michael Jacobs,Sarah Daniel,31:11,including,one,2024-03-28T11:10:15,2024-03-06T15:56:24
63820,might,Ricardo Cruz,Jasmine Dodson,09:42,during,way,2023-08-10T13:46:37,2024-03-23T09:43:34
24242,kitchen,Sarah Marquez,Cody Soto,55:48,health,less,2023-07-07T08:07:29,2025-01-26T07:19:02
70896,often,Edward Sawyer II,Christina Clayton,47:34,never,particularly,2024-11-11T22:37:32,2024-05-11T08:31:08
98679,be,Kristin Booker,Matthew Lam,49:11,feeling,democratic,2024-01-04T07:15:30,2024-10-29T01:22:56
46756,life,Amanda Perry,Raymond Jenkins,00:48,eat,security,2023-10-10T00:57:25,2024-10-22T04:48:44
47961,into,Susan Duke,John Pacheco,14:35,red,score,2024-08-10T20:58:57,2025-01-04T19:00:25
68260,these,Richard Bentley,Tyler Benson,25:11,cell,goal,2023-04-06T04:26:05,2024-07-10T16:43:01
7218,identify,Mark Jones,Joseph Raymond,51:04,course,ever,2023-10-28T00:01:59,2024-10-24T21:41:54
66342,mind,Mason Smith,Andrew Smith,35:05,level,in,2024-01-21T15:25:32,2025-02-03T05:33:48
78046,positive,Wendy Bryan,David Stevens,07:37,bar,thing,2024-12-02T13:38:18,2024-08-20T23:24:33
90897,move,Glenn Myers,Emma Porter,40:05,which,care,2024-03-25T00:48:40,2024-03-20T23:30:05
37084,hair,Susan Jensen,Olivia Sims,15:57,contain,clear,2024-09-16T03:36:03,2024-09-08T19:33:33
9037,husband,David Davis,Wendy Kelly,27:31,data,pretty,2024-08-08T21:19:58,2025-02-13T10:22:53
38257,itself,Douglas Meyer,Dale Beck PhD,31:51,say,sister,2024-12-01T21:11:00,2024-06-21T07:22:03
2059,both,Allison Miller,Matthew Brown,10:46,because,discover,2025-01-14T16:57:23,2024-09-02T20:59:39
45558,for,Philip Wood,Sean Vance,51:17,stay,production,2024-09-15T10:44:11,2024-04-05T13:57:07
43222,decade,Andrea Fox,Rebecca Taylor,47:05,try,commercial,2024-01-12T03:06:19,2024-12-17T17:00:08
1855,key,Carrie Sampson,Richard Wyatt,43:45,receive,into,2023-11-04T14:33:51,2025-01-27T04:52:33
46107,rise,Patricia Edwards,Russell Gonzalez,00:17,government,oil,2023-11-16T13:43:31,2024-06-10T07:04:35
63989,even,Lauren Taylor,John Griffith,51:45,ball,include,2024-04-11T11:26:03,2024-11-28T15:46:33
95038,can,Richard Smith,James Dunlap,48:59,lead,summer,2024-12-23T01:25:24,2024-04-12T09:53:37
79066,pass,Angelica Williams,Richard Terry,31:23,information,charge,2023-07-08T05:52:50,2025-02-06T04:05:43
93529,sometimes,William Harris,Daniel Johnson,57:10,carry,direction,2023-05-21T06:11:48,2024-07-07T20:27:23
35967,fly,Todd Fisher,Joseph Garza,53:47,dream,meet,2024-07-21T00:12:27,2024-10-28T14:03:23
44911,sport,Kevin Miller,Cheryl Mejia,19:15,quite,reflect,2024-11-05T22:19:13,2024-02-22T17:15:14
11793,president,Stephanie Perez,Frank Brown,38:47,offer,protect,2024-08-12T00:50:51,2024-07-24T06:46:58
24528,perform,Melissa Schultz,Laura Wang,29:12,paper,suffer,2024-06-10T14:30:02,2024-09-21T08:04:13
88678,yourself,Michael Clements,Brenda Gentry,24:32,story,language,2024-03-04T19:34:42,2024-04-17T20:34:27
26560,my,Mary Cox,Jeremy Brooks,19:15,just,maintain,2023-09-08T15:21:48,2024-11-12T13:54:55
17278,similar,Barbara Eaton,Jared Freeman,05:58,during,maybe,2024-02-28T06:23:03,2025-02-15T23:26:07
42237,gun,Jessica Sanders,Robert Spears,25:56,son,again,2024-04-16T10:02:17,2024-03-29T08:35:00
22766,check,Cheryl Brown,Cynthia Howard MD,45:12,class,draw,2025-01-31T17:17:50,2024-06-23T04:38:57
53141,world,Heather Thompson,Michael Wilson,25:10,section,guy,2024-01-03T01:15:48,2024-06-15T06:28:40
11783,form,Tom Brady,Megan Lane,27:32,cup,woman,2024-10-02T19:06:07,2024-07-15T13:44:01
28270,education,Dylan Young,Evelyn Weaver,23:13,break,campaign,2024-06-27T05:50:00,2024-10-09T18:51:31
5827,a,Dr. Rhonda Bradley,Christopher Holland,43:08,own,fund,2023-08-17T05:22:35,2024-11-10T17:37:05
98867,little,Veronica Robbins,Jasmine Duncan,10:02,common,national,2024-03-01T06:22:46,2024-11-12T17:31:38
10559,laugh,James Brooks,Erin Patton,45:32,responsibility,when,2024-02-09T22:34:51,2024-06-14T20:40:05
5469,smile,Frank Mcdaniel,April Cruz,39:25,by,finish,2023-03-14T22:00:54,2024-02-24T07:00:08
87342,environment,Dwayne Burton,Sherri Hurley,13:13,say,past,2024-04-09T10:44:28,2024-10-08T22:35:36
87773,open,Michelle Davis,Francisco Bates,08:03,success,leader,2023-10-10T06:05:42,2024-10-15T01:33:04
7455,chair,Alexandra Howell,Alyssa Bauer,58:00,least,try,2024-01-21T16:17:06,2024-09-10T14:07:59
36578,democratic,Alexis Alexander,Joseph Bell,24:14,adult,establish,2024-11-05T21:44:15,2024-02-18T20:22:24
70258,within,Ellen Forbes,Heather Marquez,49:13,child,half,2024-01-04T14:33:00,2024-06-01T06:32:35
11160,option,Rachael Murphy,Lisa Bell,17:26,leg,attention,2024-03-23T16:58:04,2024-08-25T23:00:10
65194,career,Nicholas Levy,Christopher Wright,37:15,number,anything,2023-06-04T16:23:36,2024-04-07T18:42:53
35435,note,Claudia Diaz,Eric Steele,13:40,travel,less,2023-12-28T12:19:45,2024-10-21T16:03:40
6929,side,Laura Anderson,Janet Rodriguez,08:54,amount,create,2023-03-27T10:32:39,2024-07-23T12:48:56
37890,actually,Elizabeth Rosales,Tyler Skinner,59:52,study,interview,2023-10-12T18:53:18,2024-05-20T20:00:53
33828,collection,Monica Medina,Jaime Rivera,54:53,own,parent,2023-12-25T23:34:16,2024-07-13T09:52:01
21426,nice,Gina Griffith,Michelle Myers,55:51,here,figure,2024-08-17T21:25:48,2024-09-23T11:57:55
89308,employee,Austin Bennett,Cynthia Strong,56:46,could,agent,2024-08-16T13:37:32,2024-11-23T10:52:37
72727,reflect,Sean Perry,Ronald Sloan,00:33,important,either,2024-05-05T21:11:16,2025-01-26T17:25:38
52993,Democrat,Kathryn Alvarado,Danny Phillips,31:46,future,service,2023-05-03T19:04:25,2024-07-24T12:07:54
13638,word,Dustin Rojas,Virginia Freeman,39:26,benefit,concern,2023-08-05T08:23:31,2025-01-13T20:20:41
56674,land,Morgan Johnston,Kyle Charles,35:53,add,in,2024-10-14T06:40:51,2024-06-22T05:02:18
13178,good,Michael Wright,Cody Miller,26:29,moment,trial,2024-04-03T23:01:55,2024-03-04T03:34:03
90820,throughout,Chloe Braun,Justin Bauer,42:36,chance,close,2024-03-15T05:28:44,2025-01-28T11:09:33
27325,will,Michael Castro,Andrew Mccullough,40:48,involve,possible,2023-03-24T08:19:54,2024-12-23T01:31:13
25470,key,Allison Pope,Todd Gilbert,04:43,true,happen,2024-08-02T12:38:59,2024-06-21T09:31:25
14139,coach,Gary Wheeler,Kathy Lee,44:52,skill,why,2024-06-02T08:05:37,2025-01-03T16:12:40
434,operation,Michael Fry,Isaiah Taylor,55:41,baby,then,2024-08-04T15:01:05,2024-07-09T10:58:45
2634,must,Emily Osborne,Brittany Phillips,14:45,reduce,Congress,2023-10-09T02:12:15,2024-08-31T14:17:52
26007,action,Mary Dixon,Erika James,55:15,soon,product,2023-07-14T22:06:17,2025-01-27T18:06:10
64314,least,Lisa Miller,Jeffrey Mendez,26:21,media,pretty,2024-08-13T02:21:50,2024-07-03T05:41:35
47916,while,George Ingram,Susan Roman,02:54,should,there,2024-01-11T14:36:55,2024-07-18T18:01:50
3276,rich,Angela Alvarado,Jasmine Farley,10:46,which,there,2023-11-09T01:32:27,2024-07-03T05:39:57
67317,situation,Donald Foster,Donna Ho,03:44,low,themselves,2024-07-26T21:27:05,2024-10-14T08:27:45
89209,clear,Joseph Larsen,Anthony Petty,19:54,form,yet,2023-12-30T18:05:34,2024-08-06T03:59:38
22056,per,Matthew Thompson,Gabriel Bartlett,30:13,vote,bring,2023-10-14T10:11:43,2024-09-19T06:31:17
24318,tree,Curtis Smith,Daniel Garcia,59:21,charge,budget,2024-09-27T02:06:45,2024-12-03T07:15:56
